username,team,games_played,total_eliminations,total_deaths,total_assists,total_damage,total_plants,total_defuses,avg_eliminations,avg_deaths,avg_assists,avg_damage,kd_ratio,victories,defeats,win_rate,first_seen,last_seen
2AMDARKCELY,DEF,1,18,9,5,3185,0,0,18.0,9.0,5.0,3185.0,2.0,1,0,100.0,2025-08-13T12:21:05.664574,2025-08-13T12:21:05.664574
BRIDGE,ATK,1,12,6,5,1914,0,1,12.0,6.0,5.0,1914.0,2.0,1,0,100.0,2025-08-13T12:21:15.596359,2025-08-13T12:21:15.596359
2AMHERBO,ATK,1,13,7,4,2200,0,0,13.0,7.0,4.0,2200.0,1.86,1,0,100.0,2025-08-13T12:20:02.995972,2025-08-13T12:20:02.995972
MellyEra,ATK,1,9,5,3,1405,0,0,9.0,5.0,3.0,1405.0,1.8,1,0,100.0,2025-08-13T12:19:31.045275,2025-08-13T12:19:31.045275
DEIDREAMM,ATK,1,5,3,3,845,2,1,5.0,3.0,3.0,845.0,1.67,1,0,100.0,2025-08-13T12:20:33.410010,2025-08-13T12:20:33.410010
SKITLE6,ATK,12,125,80,75,25840,3,6,10.42,6.67,6.25,2153.33,1.56,12,0,100.0,2025-08-13T12:19:22.036063,2025-08-13T12:21:15.596359
VUYFN,DEF,1,15,10,6,3157,0,0,15.0,10.0,6.0,3157.0,1.5,1,0,100.0,2025-08-13T12:19:49.477809,2025-08-13T12:19:49.477809
NEWPLAYER399,DEF,3,39,28,17,6752,0,2,13.0,9.33,5.67,2250.67,1.39,3,0,100.0,2025-08-13T12:20:12.931233,2025-08-13T12:20:54.504051
ACEOFACTION,DEF,1,12,9,2,1669,2,0,12.0,9.0,2.0,1669.0,1.33,1,0,100.0,2025-08-13T12:20:43.919197,2025-08-13T12:20:43.919197
BROOKS,ATK,3,38,29,19,8110,3,1,12.67,9.67,6.33,2703.33,1.31,3,0,100.0,2025-08-13T12:20:12.931233,2025-08-13T12:20:54.504051
DHAP,DEF,3,27,21,19,5418,7,0,9.0,7.0,6.33,1806.0,1.29,3,0,100.0,2025-08-13T12:19:31.045275,2025-08-13T12:20:33.410010
ISBYOUNGBILLIE,DEF,1,9,7,4,1843,4,1,9.0,7.0,4.0,1843.0,1.29,1,0,100.0,2025-08-13T12:21:15.596359,2025-08-13T12:21:15.596359
QUINTIN,DEF,4,45,37,26,11223,2,1,11.25,9.25,6.5,2805.75,1.22,4,0,100.0,2025-08-13T12:20:12.931233,2025-08-13T12:20:54.504051
ZMRBRATSO,ATK,2,17,14,10,3233,3,0,8.5,7.0,5.0,1616.5,1.21,2,0,100.0,2025-08-13T12:19:22.036063,2025-08-13T12:19:40.259309
SCOPE,ATK,4,41,34,22,7890,14,1,10.25,8.5,5.5,1972.5,1.21,4,0,100.0,2025-08-13T12:19:49.477809,2025-08-13T12:20:54.504051
LAEHTO,DEF,1,6,5,3,907,5,0,6.0,5.0,3.0,907.0,1.2,1,0,100.0,2025-08-13T12:19:22.036063,2025-08-13T12:19:22.036063
AMASAP,ATK,1,13,11,5,2179,1,0,13.0,11.0,5.0,2179.0,1.18,1,0,100.0,2025-08-13T12:19:40.259309,2025-08-13T12:19:40.259309
XXCRIPPLEDDEERXX,ATK,1,7,6,8,1457,0,1,7.0,6.0,8.0,1457.0,1.17,1,0,100.0,2025-08-13T12:20:02.995972,2025-08-13T12:20:02.995972
HOLIDAY,ATK,1,8,7,4,1758,0,0,8.0,7.0,4.0,1758.0,1.14,1,0,100.0,2025-08-13T12:19:31.045275,2025-08-13T12:19:31.045275
Darkkk,DEF,1,8,7,2,1608,0,1,8.0,7.0,2.0,1608.0,1.14,1,0,100.0,2025-08-13T12:21:15.596359,2025-08-13T12:21:15.596359
YOTURTLE,DEF,2,19,17,5,3222,4,0,9.5,8.5,2.5,1611.0,1.12,2,0,100.0,2025-08-13T12:19:40.259309,2025-08-13T12:20:02.995972
WASHERFLUID,ATK,2,14,13,7,2299,0,0,7.0,6.5,3.5,1149.5,1.08,2,0,100.0,2025-08-13T12:19:31.045275,2025-08-13T12:20:02.995972
SURGICAL10,ATK,2,17,16,11,2974,0,1,8.5,8.0,5.5,1487.0,1.06,2,0,100.0,2025-08-13T12:19:22.036063,2025-08-13T12:19:40.259309
MILKMANPM,DEF,2,15,15,13,3450,3,1,7.5,7.5,6.5,1725.0,1.0,2,0,100.0,2025-08-13T12:19:22.036063,2025-08-13T12:19:40.259309
TWITCHE,DEF,1,9,9,2,1664,1,0,9.0,9.0,2.0,1664.0,1.0,1,0,100.0,2025-08-13T12:20:43.919197,2025-08-13T12:20:43.919197
SCUMBAGSWEATY,ATK,1,7,7,4,1257,0,1,7.0,7.0,4.0,1257.0,1.0,1,0,100.0,2025-08-13T12:20:43.919197,2025-08-13T12:20:43.919197
BIONICFORCA,ATK,1,8,8,5,1736,0,0,8.0,8.0,5.0,1736.0,1.0,1,0,100.0,2025-08-13T12:21:05.664574,2025-08-13T12:21:05.664574
NAUSEOUSFN,ATK,1,8,8,6,1496,0,0,8.0,8.0,6.0,1496.0,1.0,1,0,100.0,2025-08-13T12:21:05.664574,2025-08-13T12:21:05.664574
